image_path,ground_truth_ppm_hours,ambient_temp,ambient_humidity
training/images/strip_sample_01.jpg,0,25,50
training/images/strip_sample_02.jpg,2.5,27,55
training/images/strip_sample_03.jpg,5,29,60
training/images/strip_sample_04.jpg,8.5,31,65
training/images/strip_sample_05.jpg,12,33,50
training/images/strip_sample_06.jpg,16.5,25,55
training/images/strip_sample_07.jpg,20,27,60
training/images/strip_sample_08.jpg,25,29,65
training/images/strip_sample_09.jpg,30,31,50
training/images/strip_sample_10.jpg,35.5,33,55
training/images/strip_sample_11.jpg,40,25,60
training/images/strip_sample_12.jpg,45,27,65
training/images/strip_sample_13.jpg,50,29,50
training/images/strip_sample_14.jpg,56,31,55
training/images/strip_sample_15.jpg,62,33,60
training/images/strip_sample_16.jpg,68,25,65
training/images/strip_sample_17.jpg,75,27,50
training/images/strip_sample_18.jpg,82,29,55
training/images/strip_sample_19.jpg,90,31,60
training/images/strip_sample_20.jpg,98,33,65
training/images/strip_sample_21.jpg,108,25,50
training/images/strip_sample_22.jpg,120,27,55
training/images/strip_sample_23.jpg,135,29,60
training/images/strip_sample_24.jpg,150,31,65
training/images/strip_sample_25.jpg,175,33,50
